BestellungID;KundeID;VereinsPartnerID;Kaufdatum;Kreditkarte;GueltigBis;KKFirma;ProduktID;Menge;Preis;Rabatt
RS0000001;;GlückAuf;05.03.2022;;;;44;14;3,8;0
RS0000001;;GlückAuf;05.03.2022;;;;93;5;2,1;0
RS0000002;;GlückAuf;05.03.2022;;;;37;46;0,3;0
RS0000003;;GlückAuf;05.03.2022;;;;36;15;0,3;0
RS0000004;;GlückAuf;05.03.2022;;;;8;37;7,8;0
RS0000005;;GlückAuf;05.03.2022;;;;74;29;2,8;0
RS0000006;;GlückAuf;05.03.2022;;;;37;46;0,3;0
RS0000006;;GlückAuf;05.03.2022;;;;68;43;5,8;0
RS0000007;;GlückAuf;05.03.2022;;;;17;36;3,3;0
RS0000008;;GlückAuf;05.03.2022;;;;11;11;7,8;0
RS0000009;;GlückAuf;05.03.2022;;;;14;43;4,3;0
RS0000010;;GlückAuf;05.03.2022;;;;49;42;3,6;0
RS0000011;;GlückAuf;05.03.2022;;;;97;21;8,8;0
RS0000012;;GlückAuf;05.03.2022;;;;54;47;4,8;0
RS0000013;;GlückAuf;05.03.2022;;;;71;20;3,8;0
RS0000014;;GlückAuf;05.03.2022;;;;2;46;3,8;0
RS0000014;;GlückAuf;05.03.2022;;;;36;15;0,3;0
RS0000015;;GlückAuf;05.03.2022;;;;92;29;2,2;0
RS0000016;;GlückAuf;05.03.2022;;;;5;27;4,8;0
RS0000017;;GlückAuf;05.03.2022;;;;93;24;2,1;0
RS0000018;;GlückAuf;05.03.2022;;;;61;46;7,8;0
RS0000019;;GlückAuf;05.03.2022;;;;8;37;7,8;0
RS0000019;;GlückAuf;05.03.2022;;;;109;46;2,8;0
RS0000019;;GlückAuf;05.03.2022;;;;113;12;4,3;0
RS0000020;;GlückAuf;05.03.2022;;;;90;48;0,8;0
RS0000021;;GlückAuf;05.03.2022;;;;19;19;1,8;0
RS0000022;;GlückAuf;05.03.2022;;;;78;46;1,8;0
RS0000023;;GlückAuf;05.03.2022;;;;111;13;7,8;0
RS0000024;;GlückAuf;05.03.2022;;;;62;11;3,8;0
RS0000024;;GlückAuf;05.03.2022;;;;74;29;2,8;0
RS0000025;;GlückAuf;05.03.2022;;;;56;15;6,8;0
RS0000026;;GlückAuf;05.03.2022;;;;86;6;0,3;0
RS0000027;;GlückAuf;05.03.2022;;;;54;3;4,8;0
RS0000028;;GlückAuf;05.03.2022;;;;86;13;0,3;0
RS0000029;;GlückAuf;05.03.2022;;;;23;29;2,8;0
RS0000029;;GlückAuf;05.03.2022;;;;30;43;3,8;0
RS0000029;;GlückAuf;05.03.2022;;;;68;43;5,8;0
RS0000029;;GlückAuf;05.03.2022;;;;125;45;6,8;0
RS0000030;;GlückAuf;05.03.2022;;;;11;19;7,8;0
RS0000031;;GlückAuf;05.03.2022;;;;7;10;7,8;0
RS0000032;;GlückAuf;05.03.2022;;;;59;29;2,8;0
RS0000033;;GlückAuf;05.03.2022;;;;33;32;0,6;0
RS0000034;;GlückAuf;05.03.2022;;;;17;36;3,3;0
RS0000034;;GlückAuf;05.03.2022;;;;77;32;1,8;0
RS0000035;;GlückAuf;05.03.2022;;;;76;1;3,8;0
RS0000036;;GlückAuf;05.03.2022;;;;105;46;4,8;0
RS0000037;;GlückAuf;05.03.2022;;;;18;16;5,8;0
RS0000038;;GlückAuf;05.03.2022;;;;38;32;0,3;0
RS0000039;;GlückAuf;05.03.2022;;;;11;11;7,8;0
RS0000039;;GlückAuf;05.03.2022;;;;70;28;7,8;0
RS0000039;;GlückAuf;05.03.2022;;;;102;27;3,8;0
RS0000040;;GlückAuf;05.03.2022;;;;96;37;7,8;0
RS0000041;;GlückAuf;05.03.2022;;;;24;34;2,8;0
RS0000042;;GlückAuf;05.03.2022;;;;59;30;2,8;0
RS0000043;;GlückAuf;05.03.2022;;;;32;20;4,8;0
RS0000044;;GlückAuf;05.03.2022;;;;1;22;1,8;0
RS0000044;;GlückAuf;05.03.2022;;;;14;43;4,3;0
RS0000044;;GlückAuf;05.03.2022;;;;25;25;6,8;0
RS0000044;;GlückAuf;05.03.2022;;;;55;41;4,8;0
RS0000045;;GlückAuf;05.03.2022;;;;66;29;2,8;0
RS0000046;;GlückAuf;05.03.2022;;;;78;20;1,8;0
